ingredients_hash,dietary_preferences,recipe_ids,search_count,last_accessed
3571837699881059029,[],"[13, 22, 3, 27, 1, 2, 4, 5, 6, 7]",3,2025-10-15T18:27:20.540044
5529995577848903710,[],"[5, 25, 16, 1, 2, 3, 4, 6, 7, 8]",1,2025-10-15T18:25:44.558770
1512448342298507978,[],"[13, 22, 3, 27, 1, 2, 4, 5, 6, 7]",2,2025-10-15T19:01:35.917862
205748435791370170,[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1,2025-10-15T20:54:56.525240
-4038808415237518179,[],"[13, 22, 3, 27, 1, 2, 4, 5, 6, 7]",8,2025-10-17T14:27:40.686864
2736789645907905061,[],"[7, 1, 2, 3, 4, 5, 6, 8, 9, 10]",1,2025-10-17T13:55:08.532753
-819798662689547960,[],"[13, 27, 22, 3, 1, 2, 4, 5, 6, 7]",1,2025-10-17T14:34:20.604928
-4610670567575681251,[],"[13, 27, 22, 3, 1, 2, 4, 5, 6, 7]",1,2025-10-17T14:37:55.304691
6577743421789164706,[],"[1, 4, 8, 25, 10, 2, 3, 5, 6, 7]",1,2025-10-17T14:40:17.369970
936971595525080595,[],"[13, 27, 22, 3, 1, 2, 4, 5, 6, 7]",1,2025-10-17T14:41:36.912033
-2358379157236020504,"[""Vegetarian""]","[1, 4, 8, 10, 2, 5, 6, 7]",1,2025-10-17T14:46:19.958878
